Unnamed: 0,Number of components,Type of DES,Component#1,Smiles#1,T#1,Component#2,Smiles#2,T#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",Reference (DOI)
681,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,365.15,0.315,0.685,342.188,10.1021/acssuschemeng.0c08288
682,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,365.15,0.192,0.808,343.75,10.1021/acssuschemeng.0c08288
683,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,365.15,0.135,0.865,350.0,10.1021/acssuschemeng.0c08288
684,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,365.15,0.122,0.878,359.322,10.1021/acssuschemeng.0c08288
685,2,3,tetrabutylazanium;bromide,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],390.8,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,289.65,10.1016/j.trac.2021.116187
686,2,3,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344.0,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,261.2,10.1016/j.trac.2021.116187
687,2,3,tetraheptylazanium;chloride,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Cl-],312.15,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,256.5,10.1016/j.trac.2021.116187
688,2,3,methyl(trioctyl)azanium;bromide,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Br-],311.65,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,282.1,10.1016/j.trac.2021.116187
689,2,3,tetraoctylazanium;bromide,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],369.65,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,282.1,10.1016/j.trac.2021.116187
690,2,3,tetraoctylazanium;chloride,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],325.15,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,275.1,10.1016/j.trac.2021.116187
691,2,3,methyl(trioctyl)azanium;bromide,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Br-],311.65,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,282.1,10.1021/acssuschemeng.0c00559
692,2,3,methyl(trioctyl)azanium;bromide,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Br-],311.65,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.33,0.67,282.1,10.1039/C5GC01451D
693,2,3,methyl(trioctyl)azanium;chloride,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],253.15,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,261.2,10.1021/acssuschemeng.0c00559
694,2,3,methyl(trioctyl)azanium;chloride,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],253.15,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.33,0.67,273.1,10.1039/C5GC01451D
695,2,3,tetrabutylazanium;bromide,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],390.8,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,289.65,10.1021/acssuschemeng.0c00559
696,2,3,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344.0,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,261.2,10.1021/acssuschemeng.0c00559
697,2,3,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344.0,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.33,0.67,261.2,10.1039/C5GC01451D
698,2,3,tetraheptylazanium;chloride,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Cl-],312.15,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,256.5,10.1021/acssuschemeng.0c00559
699,2,3,tetraheptylazanium;chloride,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Cl-],312.15,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.33,0.67,256.5,10.1039/C5GC01451D
700,2,3,tetraoctylazanium;bromide,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],369.65,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,282.1,10.1021/acssuschemeng.0c00559
701,2,3,tetraoctylazanium;bromide,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],369.65,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.33,0.67,282.1,10.1039/C5GC01451D
702,2,3,tetraoctylazanium;chloride,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],325.15,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.3333,0.6667,275.1,10.1021/acssuschemeng.0c00559
703,2,3,tetraoctylazanium;chloride,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],325.15,decanoic acid,CCCCCCCCCC(=O)O,304.8,0.33,0.67,275.1,10.1039/C5GC01451D
704,2,3,tetrabutylazanium;bromide,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],390.8,2-(2-hydroxyethylamino)ethanol,OCCNCCO,301.05,0.142857,0.857143,205.39,10.1016/j.ijggc.2016.02.006
705,2,3,tetrapropylazanium;bromide,CCC[N+](CCC)(CCC)CCC.[Br-],583.0,"(2S,3R)-butane-1,2,3,4-tetrol",OC[C@@H](O)[C@@H](O)CO,394.7,0.6,0.4,340.6914,10.1016/j.gee.2020.11.020
706,2,3,tetrapentylazanium;bromide,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],375.9,"(2S,3R)-butane-1,2,3,4-tetrol",OC[C@@H](O)[C@@H](O)CO,394.7,0.904,0.096,370.3,10.1016/j.molliq.2019.112155
707,2,3,tetrapentylazanium;bromide,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],375.9,"(2S,3R)-butane-1,2,3,4-tetrol",OC[C@@H](O)[C@@H](O)CO,394.7,0.788,0.212,363.1,10.1016/j.molliq.2019.112155
708,2,3,tetrapentylazanium;bromide,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],375.9,"(2S,3R)-butane-1,2,3,4-tetrol",OC[C@@H](O)[C@@H](O)CO,394.7,0.747,0.253,358.3,10.1016/j.molliq.2019.112155
709,2,3,tetrapentylazanium;bromide,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],375.9,"(2S,3R)-butane-1,2,3,4-tetrol",OC[C@@H](O)[C@@H](O)CO,394.7,0.588,0.412,344.5,10.1016/j.molliq.2019.112155
710,2,3,tetrapentylazanium;bromide,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],375.9,"(2S,3R)-butane-1,2,3,4-tetrol",OC[C@@H](O)[C@@H](O)CO,394.7,0.502,0.498,355.9,10.1016/j.molliq.2019.112155
711,2,3,tetrapentylazanium;bromide,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],375.9,"(2S,3R)-butane-1,2,3,4-tetrol",OC[C@@H](O)[C@@H](O)CO,394.7,0.4,0.6,368.8,10.1016/j.molliq.2019.112155
712,2,3,tetrapentylazanium;bromide,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],375.9,"(2S,3R)-butane-1,2,3,4-tetrol",OC[C@@H](O)[C@@H](O)CO,394.7,0.286,0.714,379.0,10.1016/j.molliq.2019.112155
713,2,3,tetrapentylazanium;bromide,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],375.9,"(2S,3R)-butane-1,2,3,4-tetrol",OC[C@@H](O)[C@@H](O)CO,394.7,0.233,0.767,380.2,10.1016/j.molliq.2019.112155
714,2,3,tetrapentylazanium;bromide,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],375.9,"(2S,3R)-butane-1,2,3,4-tetrol",OC[C@@H](O)[C@@H](O)CO,394.7,0.088,0.912,393.1,10.1016/j.molliq.2019.112155
715,2,3,methyl(trioctyl)azanium;chloride,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],253.15,ethyl 4-hydroxybenzoate,CCOC(=O)c1ccc(O)cc1,390.15,0.3333,0.6667,210.15,10.1016/j.trac.2021.116187
716,2,3,methyl(trioctyl)azanium;chloride,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],253.15,ethyl 4-hydroxybenzoate,CCOC(=O)c1ccc(O)cc1,390.15,0.3333,0.6667,210.15,10.1021/acssuschemeng.0c00559
717,2,3,2-hydroxyethyl(trimethyl)azanium;acetate,CC(=O)[O-].C[N+](C)(C)CCO,362.62,"ethane-1,2-diol",OCCO,260.6,0.33,0.67,296.15,10.1039/C0OB01011A
718,2,3,tetrapropylazanium;bromide,CCC[N+](CCC)(CCC)CCC.[Br-],583.0,"ethane-1,2-diol",OCCO,260.6,0.25,0.75,259.85,10.1016/j.molliq.2014.08.004
719,2,3,tetrapropylazanium;bromide,CCC[N+](CCC)(CCC)CCC.[Br-],583.0,"ethane-1,2-diol",OCCO,260.6,0.2,0.8,249.75,10.1016/j.molliq.2014.08.004
720,2,3,tetrapropylazanium;bromide,CCC[N+](CCC)(CCC)CCC.[Br-],583.0,"ethane-1,2-diol",OCCO,260.6,0.166667,0.833333,255.65,10.1016/j.molliq.2014.08.004
721,2,3,tetrapropylazanium;chloride,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,"ethane-1,2-diol",OCCO,260.6,0.25,0.75,259.85,10.1016/j.molliq.2014.08.004
722,2,3,tetrapropylazanium;chloride,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,"ethane-1,2-diol",OCCO,260.6,0.2,0.8,249.75,10.1016/j.molliq.2014.08.004
723,2,3,tetrapropylazanium;chloride,CCC[N+](CCC)(CCC)CCC.[Cl-],502.4,"ethane-1,2-diol",OCCO,260.6,0.166667,0.833333,255.65,10.1016/j.molliq.2014.08.004
724,2,3,tetrabutylazanium;bromide,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],390.8,"ethane-1,2-diol",OCCO,260.6,0.33,0.67,248.22,10.1016/j.molliq.2018.12.032
725,2,3,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344.0,"ethane-1,2-diol",OCCO,260.6,0.333333,0.666667,243.02,10.1021/je5002126
726,2,3,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344.0,"ethane-1,2-diol",OCCO,260.6,0.25,0.75,242.27,10.1021/je5002126
727,2,3,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344.0,"ethane-1,2-diol",OCCO,260.6,0.2,0.8,256.31,10.1021/je5002126
728,2,3,azanium;thiocyanate,N#C[S-].[NH4+],422.75,"ethane-1,2-diol",OCCO,260.6,0.25,0.75,225.7,10.1016/j.cej.2018.10.077
729,2,3,benzyl(triphenyl)phosphanium;chloride,[Cl-].c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,603.15,"ethane-1,2-diol",OCCO,260.6,0.666667,0.333333,424.32,10.1021/je100104v
730,2,3,benzyl(triphenyl)phosphanium;chloride,[Cl-].c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,603.15,"ethane-1,2-diol",OCCO,260.6,0.333333,0.666667,322.17,10.1021/je100104v
731,2,3,benzyl(triphenyl)phosphanium;chloride,[Cl-].c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,603.15,"ethane-1,2-diol",OCCO,260.6,0.25,0.75,321.06,10.1021/je100104v
732,2,3,benzyl(triphenyl)phosphanium;chloride,[Cl-].c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,603.15,"ethane-1,2-diol",OCCO,260.6,0.166667,0.833333,333.5,10.1021/je100104v
733,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.949,0.051,568.722,10.1021/acssuschemeng.0c05518
734,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.901,0.099,533.04,10.1021/acssuschemeng.0c05518
735,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.849,0.151,495.374,10.1021/acssuschemeng.0c05518
736,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.803,0.197,463.656,10.1021/acssuschemeng.0c05518
737,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.747,0.253,433.921,10.1021/acssuschemeng.0c05518
738,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.694,0.306,416.079,10.1021/acssuschemeng.0c05518
739,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.638,0.362,384.361,10.1021/acssuschemeng.0c05518
740,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.602,0.398,370.485,10.1021/acssuschemeng.0c05518
741,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.549,0.451,348.678,10.1021/acssuschemeng.0c05518
742,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.48,0.52,297.137,10.1021/acssuschemeng.0c05518
743,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.398,0.602,241.63,10.1021/acssuschemeng.0c05518
744,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.333,0.667,262.28,10.1002/apj.1873
745,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.303,0.697,247.577,10.1021/acssuschemeng.0c05518
746,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.25,0.75,265.19,10.1002/apj.1873
747,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.2,0.8,236.71,10.1002/apj.1873
748,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.184,0.816,249.559,10.1021/acssuschemeng.0c05518
749,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.167,0.833,237.71,10.1002/apj.1873
750,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"ethane-1,2-diol",OCCO,260.6,0.104,0.896,253.524,10.1021/acssuschemeng.0c05518
751,2,3,methyl(triphenyl)phosphanium;bromide,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],504.15,"ethane-1,2-diol",OCCO,260.6,0.5,0.5,352.08,10.1021/je100104v
752,2,3,methyl(triphenyl)phosphanium;bromide,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],504.15,"ethane-1,2-diol",OCCO,260.6,0.4,0.6,322.42,10.1021/je100104v
753,2,3,methyl(triphenyl)phosphanium;bromide,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],504.15,"ethane-1,2-diol",OCCO,260.6,0.363636,0.636364,288.8,10.1021/je100104v
754,2,3,methyl(triphenyl)phosphanium;bromide,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],504.15,"ethane-1,2-diol",OCCO,260.6,0.333333,0.666667,230.03,10.1021/je100104v
755,2,3,methyl(triphenyl)phosphanium;bromide,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],504.15,"ethane-1,2-diol",OCCO,260.6,0.25,0.75,226.9,10.1021/ef2004943
756,2,3,methyl(triphenyl)phosphanium;bromide,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],504.15,"ethane-1,2-diol",OCCO,260.6,0.2,0.8,223.81,10.1021/je100104v
757,2,3,methyl(triphenyl)phosphanium;bromide,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],504.15,"ethane-1,2-diol",OCCO,260.6,0.166667,0.833333,224.6,10.1021/ef2004943
758,2,3,methyl(triphenyl)phosphanium;bromide,C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],504.15,"ethane-1,2-diol",OCCO,260.6,0.111111,0.888889,269.37,10.1021/je100104v
759,2,3,butyl(triphenyl)phosphanium;bromide,CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],508.15,"ethane-1,2-diol",OCCO,260.6,0.076923,0.923077,182.51,10.1016/j.ijggc.2016.02.006
760,2,3,diethyl(2-hydroxyethyl)azanium;chloride,CC[NH+](CC)CCO.[Cl-],385.15,"ethane-1,2-diol",OCCO,260.6,0.3333,0.6667,242.15,10.1016/j.molliq.2021.117021
761,2,3,diethyl(2-hydroxyethyl)azanium;chloride,CC[NH+](CC)CCO.[Cl-],385.15,"ethane-1,2-diol",OCCO,260.6,0.333333,0.666667,242.15,10.1016/j.tca.2011.10.010
762,2,3,diethyl(2-hydroxyethyl)azanium;chloride,CC[NH+](CC)CCO.[Cl-],385.15,"ethane-1,2-diol",OCCO,260.6,0.25,0.75,250.9,10.1016/j.tca.2011.10.010
763,2,3,diethyl(2-hydroxyethyl)azanium;chloride,CC[NH+](CC)CCO.[Cl-],385.15,"ethane-1,2-diol",OCCO,260.6,0.2,0.8,251.48,10.1016/j.tca.2011.10.010
764,2,3,tetrabutylazanium;bromide,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],390.8,"ethane-1,2-diol",OCCO,260.6,0.3333,0.6667,248.22,10.1016/j.molliq.2021.115838
765,2,3,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344.0,"ethane-1,2-diol",OCCO,260.6,0.25,0.75,242.27,10.1016/j.molliq.2021.117021
766,2,3,bis(trifluoromethylsulfonyl)azanide;trimethylsulfanium,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.65,formamide,NC=O,275.7,0.7968,0.2032,292.4258,10.1021/jp5110455
767,2,3,bis(trifluoromethylsulfonyl)azanide;trimethylsulfanium,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.65,formamide,NC=O,275.7,0.5968,0.4032,279.7942,10.1021/jp5110455
768,2,3,bis(trifluoromethylsulfonyl)azanide;trimethylsulfanium,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.65,formamide,NC=O,275.7,0.5016,0.4984,276.7626,10.1021/jp5110455
769,2,3,bis(trifluoromethylsulfonyl)azanide;trimethylsulfanium,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.65,formamide,NC=O,275.7,0.4032,0.5968,268.6784,10.1021/jp5110455
770,2,3,bis(trifluoromethylsulfonyl)azanide;trimethylsulfanium,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.65,formamide,NC=O,275.7,0.2857,0.7143,253.5205,10.1021/jp5110455
771,2,3,bis(trifluoromethylsulfonyl)azanide;trimethylsulfanium,C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.65,formamide,NC=O,275.7,0.2063,0.7937,271.71,10.1021/jp5110455
772,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,furan-2-ylmethanol,OCc1ccco1,258.5,0.25,0.75,237.4,10.1016/j.jct.2015.04.021
773,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,furan-2-ylmethanol,OCc1ccco1,258.5,0.2,0.8,238.6,10.1016/j.jct.2015.04.021
774,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,furan-2-ylmethanol,OCc1ccco1,258.5,0.166667,0.833333,239.4,10.1016/j.jct.2015.04.021
775,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,"3,4,5-trihydroxybenzoic acid",O=C(O)c1cc(O)c(O)c(O)c1,524.19,0.67,0.33,350.15,10.1039/C1RA00630D
776,2,3,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344.0,(2S)-2-aminopentanedioic acid,N[C@@H](CCC(=O)O)C(=O)O,497.15,0.909091,0.090909,302.01,10.1016/j.jtice.2015.12.020
777,2,3,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344.0,(2S)-2-aminopentanedioic acid,N[C@@H](CCC(=O)O)C(=O)O,497.15,0.9,0.1,302.41,10.1016/j.jtice.2015.12.020
778,2,3,tetrabutylazanium;chloride,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],344.0,(2S)-2-aminopentanedioic acid,N[C@@H](CCC(=O)O)C(=O)O,497.15,0.888889,0.111111,303.7,10.1016/j.jtice.2015.12.020
779,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,(2S)-2-aminopentanedioic acid,N[C@@H](CCC(=O)O)C(=O)O,497.15,0.333,0.667,286.15,10.1002/aic.17408
780,2,3,tetraethylazanium;bromide,CC[N+](CC)(CC)CC.[Br-],633.0,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.57,0.43,301.6,10.1016/j.gee.2020.11.020
781,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.949,0.051,571.62,10.1021/acs.iecr.8b01249
782,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.898,0.102,539.75,10.1021/acs.iecr.8b01249
783,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.85,0.15,504.28,10.1021/acs.iecr.8b01249
784,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.799,0.201,475.42,10.1021/acs.iecr.8b01249
785,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.75,0.25,444.45,10.1021/acs.iecr.8b01249
786,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.699,0.301,418.72,10.1021/acs.iecr.8b01249
787,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.649,0.351,396.78,10.1021/acs.iecr.8b01249
788,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.598,0.402,372.65,10.1021/acs.iecr.8b01249
789,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.552,0.448,342.85,10.1021/acs.iecr.8b01249
790,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.495,0.505,304.55,10.1021/acs.iecr.8b01249
791,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.45,0.55,311.15,10.1021/acs.iecr.8b01249
792,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.399,0.601,320.45,10.1021/acs.iecr.8b01249
793,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.352,0.648,326.58,10.1021/acs.iecr.8b01249
794,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.299,0.701,333.48,10.1021/acs.iecr.8b01249
795,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.25,0.75,341.02,10.1021/acs.iecr.8b01249
796,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.201,0.799,345.38,10.1021/acs.iecr.8b01249
797,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.151,0.849,352.58,10.1021/acs.iecr.8b01249
798,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.101,0.899,358.68,10.1021/acs.iecr.8b01249
799,2,3,2-hydroxyethyl(trimethyl)azanium;chloride,C[N+](C)(C)CCO.[Cl-],578.15,pentanedioic acid,O=C(O)CCCC(=O)O,370.9,0.05,0.95,364.25,10.1021/acs.iecr.8b01249
