Unnamed: 0,Number of components,Type of DES,Component#1,Smiles#1,T#1,Component#2,Smiles#2,T#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",Reference (DOI)
40,2,,,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],603.15,,C(CO)O,260.25,0.33,0.67,322.17,
41,2,,,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],603.15,,C(C(CO)O)O,290.95,0.08,0.92,222.88,
42,2,,,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],603.15,,C(C(CO)O)O,290.95,0.06,0.94,251.15,
43,2,,,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],603.15,,C(C(CO)O)O,290.95,0.17,0.83,323.51,
44,2,,,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],603.15,,C(C(CO)O)O,290.95,0.33,0.67,328.91,
45,2,,,C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],603.15,,C(COCCOCCO)O,265.95,0.11,0.89,253.66,
46,2,,,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],456.15,,CC(C(=O)O)O,291.15,0.25,0.75,248.43,
47,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C1=CC=C(C(=C1)C(=O)O)Cl,411.15,0.4,0.6,217.15,
48,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C1=COC(=C1)C(=O)O,401.15,0.33,0.67,312.15,
49,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C1=CC(=CC=C1C(=O)O)Cl,511.15,0.4,0.6,284.15,
50,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C1=CC=C(C=C1)C(=O)O,395.15,0.33,0.67,301.15,
51,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C(C(=O)O)C(CC(=O)O)(C(=O)O)O.O,408.15,0.4,0.6,347.98,
52,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C1=CC=C(C=C1)C(C(=O)O)O,404.15,0.5,0.5,321.15,
53,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C(C(=O)O)O,348.15,0.3,0.7,286.15,
54,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C(C(=O)O)O,348.15,0.4,0.6,246.38,
55,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C(=O)(C(=O)O)O.O.O,371.15,0.33,0.67,238.45,
56,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C1=CC=C(C=C1)CC(=O)O,349.15,0.33,0.67,306.15,
57,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C1=CC=C(C(=C1)C(=O)O)O,431.15,0.4,0.6,266.15,
58,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,CC1CCC(C(C1)O)C(C)C,309.15,0.2,0.8,312.29999999999995,
59,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,CC1CCC(C(C1)O)C(C)C,309.15,0.3,0.7,315.2,
60,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,CC1CCC(C(C1)O)C(C)C,309.15,0.5,0.5,371.7,
61,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,CC1CCC(C(C1)O)C(C)C,309.15,0.7,0.3,447.5,
62,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,CCCCCCCCCCCCCCCCCCO,329.15,0.2,0.8,334.79999999999995,
63,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,CCCCCCCCCCCCCCCCCCO,329.15,0.4,0.6,344.2,
64,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C1=CC=C(C(=C1)C(=O)O)O,431.15,0.4,0.6,359.7,
65,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C1=CC=C(C(=C1)C(=O)O)O,432.15,0.6,0.4,360.8,
66,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C1=CC=C(C(=C1)C(=O)O)O,433.15,0.8,0.2,411.8,
67,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,CC1=CC(=C(C=C1)C(C)C)O,319.95,0.4,0.6,328.5,
68,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,CC1=CC(=C(C=C1)C(C)C)O,319.95,0.6,0.4,426.4,
69,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C(=O)(N)N,405.85,0.2,0.8,359.29999999999995,
70,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C(=O)(N)N,406.85,0.4,0.6,386.3,
71,2,,,C[N+](C)(C)CC(=O)[O-],514.15,,C(=O)(N)N,407.85,0.8,0.2,490.4,
72,2,,,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],478.55,,C(C(CO)O)O,290.95,0.25,0.75,268.15,
73,2,,,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],478.55,,C(C(CO)O)O,290.95,0.33,0.67,267.15,
74,2,,,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],478.55,,C(C(CO)O)O,290.95,0.4,0.6,270.15,
75,2,,,CCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],513.15,,C(CO)O,260.25,0.08,0.92,182.51,
76,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1CCC(C(C1)O)C(C)C,309.15,0.2,0.8,316.9,
77,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1CCC(C(C1)O)C(C)C,309.15,0.4,0.6,316.29999999999995,
78,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1CCC(C(C1)O)C(C)C,309.15,0.6,0.4,376.8,
79,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1CCC(C(C1)O)C(C)C,309.15,0.8,0.2,463.4,
80,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC(CN)N,241.45,0.33,0.67,336.15,
81,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CCO)CO,289.15,0.33,0.67,241.15,
82,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CCO)CO,321.15,0.2,0.8,322.73,
83,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CCO)CO,321.15,0.33,0.67,322.28,
